taxon;lon;lat
"Cottendorfia florida Schult.f.";-41.4175;-12.569722
"Cottendorfia florida Schult.f.";-41.346111;-12.806389
"Cottendorfia florida Schult.f.";-40.318333;-10.543333
"Cottendorfia florida Schult.f.";-40.332222;-10.543333
"Cottendorfia Schult.f.";-41.366667;-13.083333
"Cottendorfia florida Schult.f.";-41.946944;-13.524167
"Cottendorfia florida Schult.f.";-40.363889;-10.666389
"Cottendorfia florida Schult.f.";-41.3;-12.683333
"Cottendorfia florida Schult.f.";-41.341111;-12.804167
"Cottendorfia florida Schult.f.";-41.369194;-13.020639
"Cottendorfia florida Schult.f.";-41.9365;-13.520389
"Cottendorfia florida Schult.f.";-41.9365;-13.520389
"Cottendorfia florida Schult.f.";-41.508611;-12.632778
"Cottendorfia florida Schult.f.";-41.904444;-13.0775
"Cottendorfia florida Schult.f.";-41.904444;-13.0775
"Cottendorfia florida Schult.f.";-41.326667;-12.995278
Cottendorfia;-41.4463889;-12.4705556
"Cottendorfia florida Schult. & Schult.f.";-41.85;-13.4666667
"Cottendorfia florida Schult. & Schult.f.";-41.9366666;-13.5205556
