"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
-1e-04;-1e-04;-1e-04;-1e-04;0.0999;0.0999;0.414414414414414;0;"BioClim";1
0.0146929;0.0146929;0.0146929;0.0147929;0.0146929;0.0147929;0.5;0;"glm";1
0.85576596;0.85576596;0.70025863;0.03767296;0.85833706;0.70260497;0.667867867867868;0.46966966966967;"maxent";1
0.0349;0.0349;-1e-04;0.01461991;0.00366667;0;0.658682634730539;0.447305389221557;"rf";1
0.01176895;0.01058471;0.00853277;0.014498;0.01058471;0.00859089;0.764670658682635;0.590419161676647;"svm";1
0.3999;0.1999;0.1999;-1e-04;0.1999;0.2999;0.908982035928144;0.721556886227545;"BioClim";2
0.01467105;0.01467105;0.01467105;0.01477105;0.01467105;0.01477105;0.5;0;"glm";2
0.94995029;0.94995029;0.83712651;0.67435803;0.90373607;0.83927222;0.696407185628742;0.408383233532934;"maxent";2
0.0653;0.0019;0.0019;0.01506516;0.0043188;0.0023;0.746246246246246;0.501501501501501;"rf";2
0.01260834;0.00757319;0.00757602;0.01280834;0.00774711;0.00759795;0.7003003003003;0.57957957957958;"svm";2
0.3999;0.1999;-1e-04;-1e-04;0.0999;0.0999;0.697597597597598;0.395795795795796;"BioClim";3
0.01467105;0.01467105;0.01467105;0.01477105;0.01467105;0.01477105;0.5;0;"glm";3
0.99044778;0.72390373;0.72390373;0.52667709;0.89315166;0.72688891;0.524324324324324;0.237237237237237;"maxent";3
0.0119;0.0037;-1e-04;0.01476667;0.0059;5.385e-05;0.61021021021021;0.352552552552553;"rf";3
0.01242767;0.00673711;0.00674281;0.01471774;0.00830107;0.0067615;0.694294294294294;0.396396396396396;"svm";3
