"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"1" 2 1 -43.4183334 -22.5747223 224.895367340786 29.5942497253418 264 50
"3" 1 1 -43.2486111 -22.9688889 208.661170152281 30.5919399261475 183 42
"4" 2 1 -44.6794445 -23.0677778 240.523107731965 27.6232051849365 276 49
"7" 3 1 -43.8916667 -21.7 212.204339697165 26.9095001220703 283 19
"8" 1 1 -42.5494444 -22.5222223 226.986982361933 30.2532501220703 179 24
"9" 1 1 -40.525 -20.2677778 201.95813180513 28.7824993133545 199 53
"10" 3 1 -40.5166667 -19.95 198.71825799419 28.324499130249 202 50
"11" 3 1 -39.9325 -19.1352777 190.344188663569 31.0419998168945 178 43
"13" 1 1 -43.0002778 -22.7716667 216.073247765545 31.3978729248047 192 35
"14" 3 1 -42.0333333 -20.7666667 233.749530495031 29.4362506866455 229 20
"16" 2 1 -42.25 -22.5 233.71841059257 29.2142505645752 204 26
"19" 3 1 -42.05 -22 239.18107407733 30.7325000762939 226 22
"20" 1 1 -42.5 -22.55 224.37537142215 31.5580005645752 169 26
"23" 2 1 -44.5666667 -22.25 239.404208246186 25.8430004119873 316 25
"1100" 2 0 -46.5833333333333 -24.0833333333333 241.37659490582 30.0209426879883 326 105
"2" 1 0 -45.9166666666667 -21.75 241.402594408079 30.0302505493164 291 28
"3100" 1 0 -39.75 -17.9166666666667 171.970497227211 30.9422492980957 164 73
"4100" 2 0 -40.5833333333333 -18.25 182.023658873026 31.7257499694824 175 32
"5" 3 0 -46.0833333333333 -22.75 262.547886329424 26.9462509155273 298 30
"6" 2 0 -44.75 -20.75 210.436822964215 28.3827495574951 340 17
"7100" 2 0 -42.75 -22.5833333333333 225.582326700791 31.72825050354 184 26
"8100" 3 0 -41.75 -21.5833333333333 229.116020904658 31.9230003356934 196 19
"983" 1 0 -44.25 -23.25 215.095423564943 30.9303569793701 242 58
"1010" 2 0 -45.4166666666667 -21.5833333333333 255.2386890172 30.0982494354248 278 20
"1110" 2 0 -45.4166666666667 -23.4166666666667 254.016347583938 26.6319999694824 259 38
"12" 2 0 -42.4166666666667 -22.25 246.971130520618 26.9512500762939 244 27
"1310" 2 0 -42.75 -21.4166666666667 228.409292547206 31.5709991455078 240 13
"1410" 1 0 -40.9166666666667 -21.9166666666667 195.097635372237 31.1512813568115 149 27
"15" 1 0 -43.9166666666667 -20.5833333333333 206.389308801457 28.6402492523193 286 13
"1610" 1 0 -44.0833333333333 -22.75 235.462515679425 29.1912498474121 245 25
"17" 3 0 -44.0833333333333 -20.5833333333333 203.556135158774 28.525749206543 294 15
"18" 1 0 -44.75 -20.9166666666667 214.710687684546 28.5949993133545 363 18
"1910" 2 0 -46.4166666666667 -23.4166666666667 238.054457589845 26.5667495727539 232 37
"2010" 1 0 -43.25 -21.0833333333333 220.501721023019 29.0139999389648 265 20
"21" 2 0 -42.0833333333333 -19.25 191.208112473924 31.9745006561279 225 17
"22" 1 0 -45.4166666666667 -23.9166666666667 253.134091569881 28.072078704834 314 98
"2310" 3 0 -44.25 -21.75 222.50964072295 27.7432498931885 295 18
"24" 1 0 -44.5833333333333 -20.25 199.127796021147 29.0042495727539 322 15
"25" 2 0 -42.9166666666667 -19.75 222.73793174456 29.6215000152588 301 14
"26" 1 0 -40.5833333333333 -20.9166666666667 201.988225446365 31.1000003814697 173 40
"27" 2 0 -41.5833333333333 -18.0833333333333 190.396128636497 30.835750579834 194 19
"28" 1 0 -46.5833333333333 -23.25 230.091963586373 25.84375 239 29
"29" 3 0 -42.5833333333333 -22.9166666666667 214.593578164833 30.4172840118408 175 25
"30" 3 0 -39.0833333333333 -17.5833333333333 161.895875140324 30.3999996185303 178 68
"31" 2 0 -43.5833333333333 -20.75 217.971069993097 29.472749710083 271 17
"32" 3 0 -45.0833333333333 -20.25 219.51660295684 30.1380004882812 294 15
"33" 1 0 -46.4166666666667 -23.5833333333333 242.41066424181 26.5354995727539 248 50
"34" 1 0 -41.0833333333333 -20.75 211.279704199846 31.0195007324219 187 32
"35" 1 0 -41.0833333333333 -21.25 207.983517518674 31.8757495880127 166 30
"36" 2 0 -42.4166666666667 -21.75 242.128053432813 31.6380004882812 248 19
"37" 2 0 -42.75 -20.0833333333333 220.910226649558 31.9009990692139 255 13
"38" 1 0 -43.4166666666667 -20.0833333333333 210.260377638007 28.3425006866455 310 15
"39" 3 0 -45.0833333333333 -22.5833333333333 242.368619838637 29.2747497558594 268 23
"40" 2 0 -40.25 -19.4166666666667 194.782685048218 31.3699989318848 187 36
"41" 1 0 -46.0833333333333 -22.0833333333333 231.399446228166 28.5739994049072 290 30
"42" 1 0 -41.4166666666667 -18.9166666666667 183.987461583708 31.8867492675781 195 21
"43" 1 0 -41.25 -19.9166666666667 205.908361829353 29.7942504882812 208 32
"44" 1 0 -40.5833333333333 -20.0833333333333 200.611415571913 29.0212497711182 200 51
"45" 3 0 -41.25 -17.5833333333333 187.579407609571 31.6352500915527 174 21
"46" 3 0 -40.4166666666667 -18.75 185.894894299463 31.535249710083 178 37
"47" 3 0 -44.5833333333333 -20.0833333333333 198.9254454699 29.8514995574951 325 14
"48" 3 0 -40.0833333333333 -18.75 186.434159896479 31.3179988861084 173 42
"49" 3 0 -43.5833333333333 -21.5833333333333 211.024661953887 28.4307498931885 279 17
"50" 1 0 -42.9166666666667 -20.9166666666667 234.227059170199 29.7127494812012 249 19
"51" 2 0 -43.75 -23.0833333333333 202.808018448587 31 185 46
"52" 3 0 -41.5833333333333 -21.4166666666667 221.287153518514 32.0332489013672 193 22
"53" 2 0 -41.25 -19.0833333333333 188.904667681584 32.2369995117188 192 22
"54" 1 0 -45.75 -21.5833333333333 250.892785138133 30.4029998779297 282 25
"55" 2 0 -43.0833333333333 -22.9166666666667 205.996435823287 30.5669612884521 183 26
"56" 1 0 -40.9166666666667 -18.0833333333333 184.019798860117 31.7889995574951 178 26
"57" 1 0 -44.4166666666667 -21.9166666666667 232.101274747443 28.1702499389648 295 20
"58" 2 0 -42.0833333333333 -21.75 245.032744165707 32.2014999389648 218 17
"59" 3 0 -39.5833333333333 -17.9166666666667 168.77164621912 30.6772499084473 172 86
"60" 2 0 -44.0833333333333 -21.5833333333333 215.713107344545 27.8187503814697 290 17
"61" 1 0 -42.5833333333333 -19.0833333333333 212.389551550235 30.1860008239746 273 15
"62" 3 0 -44.75 -20.25 210.847245736987 30.32200050354 305 14
"63" 3 0 -41.5833333333333 -18.5833333333333 185.165629370873 31.5254993438721 199 21
"64" 2 0 -45.0833333333333 -22.75 224.91558168542 30.1704998016357 248 22
