"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
0.4999;0.16656667;-1e-04;-1e-04;0.08323333;0.08323333;0.773523523523523;0.516516516516516;"BioClim";1
0.02214168;0.02214168;0.0109286;0.01766211;0.02214168;0.01103261;0.764970059880239;0.587824351297405;"glm";1
0.99748571;0.99748571;0.72852029;0.10899449;0.9955829;0.72862061;0.834334334334334;0.704204204204204;"maxent";1
0.18466667;0.04080476;0.04080476;0.0177;0.04168889;0.04168889;0.942614770459082;0.898203592814371;"rf";1
0.01309474;0.00753472;0.00753472;0.01782997;0.00957532;0.00762521;0.898702594810379;0.688622754491018;"svm";1
0.16656667;0.16656667;-1e-04;-1e-04;0.16656667;0.16656667;0.532185628742515;0.0708582834331337;"BioClim";2
0.0471439;0.01560872;0.01569256;0.01780855;0.01725047;0.01582092;0.817220543806647;0.640483383685801;"glm";2
0.99137534;0.99137534;0.44652073;0.04411078;0.94713862;0.44703977;0.728542914171657;0.481037924151697;"maxent";2
0.17686667;0.04878571;-1e-04;0.01786667;0.00936667;0.00018571;0.834340382678751;0.579053373615307;"rf";2
0.01317805;0.01118393;0.00800042;0.0182339;0.01118393;0.0081581;0.890231621349446;0.658106747230614;"svm";2
0.33323333;0.16656667;-1e-04;-1e-04;0.08323333;0.08323333;0.863113113113113;0.689189189189189;"BioClim";3
0.03050142;0.02145562;0.0100266;0.01758294;0.02145562;0.01007616;0.803482587064677;0.606467661691542;"glm";3
0.99846669;0.65138628;0.65138628;0.10220841;0.966792;0.65225895;0.723723723723724;0.480480480480481;"maxent";3
0.1771;0.0046;0.0046;0.0177;0.0153;0.00493333;0.849253731343284;0.617910447761194;"rf";3
0.01658458;0.01247239;0.00656689;0.01678458;0.00917742;0.00662335;0.723880597014925;0.413432835820895;"svm";3
