"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"1" 2 1 -49.86 -29.07 316.323798286777 26.5907497406006 163 107
"2" 1 1 -50.212736 -29.976883 336.833249771438 27.7387504577637 149 94
"3" 2 1 -36.435015 -9.244547 147.705200654232 28.2822494506836 231 26
"4" 3 1 -48.739722 -25.261389 295.454143898324 28.214750289917 259 71
"5" 1 1 -43.2486111 -22.9688889 208.661170152281 30.5919399261475 183 42
"6" 1 1 -48.8697223 -27.99 299.012439394117 25.7779998779297 215 93
"7" 3 1 -43.4183334 -22.5747223 224.895367340786 29.5942497253418 264 50
"8" 3 1 -39.9325 -19.1352777 190.344188663569 31.0419998168945 178 43
"9" 2 1 -40.5166667 -19.95 198.71825799419 28.324499130249 202 50
"10" 3 1 -40.525 -20.2677778 201.95813180513 28.7824993133545 199 53
"11" 2 1 -42.5494444 -22.5222223 226.986982361933 30.2532501220703 179 24
"12" 1 1 -43.8916667 -21.7 212.204339697165 26.9095001220703 283 19
"13" 2 1 -44.6819445 -23.0627778 240.523107731965 27.6232051849365 276 49
"14" 1 0 -46.4166666666667 -15.25 130.206275910813 30.4379997253418 296 3
"15" 2 0 -54.25 -25.4166666666667 360.029155137904 30.5405006408691 230 109
"16" 2 0 -56.5833333333333 -32.75 496.613393226423 30.1749992370605 126 81
"17" 3 0 -50.9166666666667 -28.5833333333333 315.536757484446 25.2352504730225 175 115
"18" 3 0 -38.25 -10.9166666666667 169.110497709174 30.8707504272461 111 30
"19" 3 0 -47.5833333333333 -24.0833333333333 267.795209036923 28.195499420166 250 67
"20" 2 0 -42.4166666666667 -10.25 99.0692261584317 34.6495018005371 132 0
"21" 1 0 -40.75 -16.4166666666667 175.241939066957 30.367000579834 154 26
"22" 1 0 -55.75 -27.25 390.193024561174 31.7560005187988 190 102
"23" 1 0 -35.9166666666667 -7.41666666666666 137.149336749494 29.8775005340576 112 8
"24" 1 0 -42.4166666666667 -17.0833333333333 172.690053000248 30.9842491149902 204 5
"25" 3 0 -46.5833333333333 -22.25 225.16243653672 28.36549949646 276 25
"26" 2 0 -44.75 -14.25 136.579847161721 31.5087509155273 224 1
"27" 1 0 -54.5833333333333 -25.0833333333333 349.172888044438 30.7597503662109 193 94
"28" 3 0 -51.5833333333333 -31.5833333333333 385.028202785857 27.2583332061768 130 74
"29" 2 0 -37.25 -7.08333333333333 97.8930227937023 32.8447494506836 205 3
"30" 2 0 -52.5833333333333 -31.4166666666667 401.148672208662 27.3299999237061 143 89
"31" 1 0 -50.0833333333333 -18.4166666666667 156.313030745777 32.3950004577637 273 14
"32" 3 0 -44.25 -14.4166666666667 128.257342214109 31.730749130249 209 1
"33" 2 0 -42.25 -18.0833333333333 200.174304589103 31.7754993438721 224 10
"34" 1 0 -48.5833333333333 -18.0833333333333 175.246009477241 31.1757507324219 284 10
"35" 1 0 -53.4166666666667 -20.25 198.553069385699 31.5717506408691 235 32
"36" 2 0 -55.4166666666667 -25.0833333333333 348.795363048602 31.4465007781982 202 79
"37" 3 0 -38.25 -7.91666666666666 173.137118201586 30.7014999389648 176 7
"38" 1 0 -53.0833333333333 -32.9166666666667 415.975213470864 27.1849994659424 128 81
"39" 1 0 -40.0833333333333 -5.58333333333333 87.7049463889408 30.8952503204346 175 4
"40" 1 0 -40.4166666666667 -12.0833333333333 164.184007734904 29.2152500152588 106 26
"41" 2 0 -42.4166666666667 -18.9166666666667 210.630576877809 30.5604991912842 260 16
"42" 3 0 -40.0833333333333 -10.4166666666667 166.181482758676 31.5725002288818 104 21
"43" 2 0 -38.9166666666667 -9.08333333333333 191.165006897656 31.8602504730225 105 3
"44" 1 0 -43.25 -18.4166666666667 216.514510349856 28.4462509155273 277 13
"45" 1 0 -41.0833333333333 -7.75 107.405085936806 33.5724983215332 151 0
"46" 1 0 -35.0833333333333 -6.41666666666666 118.306863614947 31.5813961029053 218 24
"47" 2 0 -45.75 -23.5833333333333 258.725177251656 25.3290004730225 287 58
"48" 3 0 -51.75 -22.75 261.131556780117 31.0594997406006 175 44
"49" 3 0 -53.75 -30.9166666666667 417.203317687974 29.1212501525879 147 107
"50" 1 0 -36.9166666666667 -5.25 85.7160348459376 33.0574989318848 183 1
"51" 1 0 -40.25 -7.41666666666666 115.250522934764 30.3852500915527 177 3
"52" 1 0 -49.75 -17.5833333333333 140.978246196093 32.1030006408691 286 11
"53" 3 0 -48.9166666666667 -28.75 310.097578879222 29.2999992370605 162 96
"54" 1 0 -56.25 -29.75 445.779592111814 31.0225009918213 168 91
"55" 1 0 -55.0833333333333 -24.4166666666667 327.972149852899 31.1639995574951 193 87
"56" 3 0 -55.4166666666667 -29.4166666666667 417.128792949597 30.5017490386963 173 115
"57" 1 0 -51.75 -31.25 388.20270860884 27.8095417022705 133 83
"58" 3 0 -44.4166666666667 -13.9166666666667 125.587220453779 30.650749206543 207 0
"59" 1 0 -52.5833333333333 -19.9166666666667 204.445270463901 31.8627490997314 248 26
"60" 1 0 -49.0833333333333 -18.9166666666667 192.919269362441 31.60325050354 276 14
"61" 2 0 -43.9166666666667 -15.75 139.80815229066 31.1257495880127 210 2
"62" 1 0 -36.4166666666667 -6.58333333333333 102.101232389028 30.6402492523193 139 3
"63" 1 0 -39.5833333333333 -10.0833333333333 183.827518459757 30.6492500305176 93 13
"64" 2 0 -46.9166666666667 -16.4166666666667 164.786547267538 31.5602493286133 266 8
"65" 1 0 -48.0833333333333 -24.4166666666667 297.31562807878 30.9732494354248 225 51
"66" 2 0 -37.0833333333333 -10.0833333333333 181.875179258733 31.5715007781982 122 19
"67" 1 0 -42.9166666666667 -17.4166666666667 181.845869041714 30.2317504882812 231 5
"68" 1 0 -40.75 -16.0833333333333 175.456798763589 30.6227493286133 154 23
"69" 2 0 -51.5833333333333 -25.4166666666667 288.767584515984 26.2552509307861 184 100
"70" 3 0 -53.5833333333333 -22.75 267.307874928963 31.4482498168945 194 37
"71" 2 0 -52.9166666666667 -30.4166666666667 415.234810349856 29.1872501373291 135 103
"72" 1 0 -50.5833333333333 -28.4166666666667 309.428323611724 25.2049999237061 157 108
"73" 1 0 -35.25 -8.08333333333333 119.427406946894 29.6707496643066 192 22
"74" 3 0 -44.9166666666667 -21.4166666666667 228.558320699303 29.3352508544922 308 19
"75" 2 0 -55.25 -30.0833333333333 428.57625090936 30.0844993591309 154 117
"76" 2 0 -39.75 -7.41666666666666 126.142683637871 29.5625 204 10
"77" 2 0 -42.75 -12.25 107.772335901387 33.2680015563965 141 0
"78" 2 0 -55.0833333333333 -24.25 324.779794175722 31.3689994812012 191 83
"79" 3 0 -50.9166666666667 -25.0833333333333 305.115005030394 27.8309993743896 170 80
"80" 3 0 -53.5833333333333 -25.4166666666667 350.745206437411 29.7292499542236 200 110
"81" 3 0 -50.4166666666667 -23.75 281.58699809747 29.7665004730225 183 65
"82" 3 0 -41.25 -9.41666666666666 113.983285284245 34.6949996948242 122 1
"83" 1 0 -41.9166666666667 -20.75 231.868717260803 29.3707504272461 223 21
"84" 3 0 -37.25 -7.75 144.101647559178 29.744499206543 157 7
"85" 2 0 -56.0833333333333 -32.4166666666667 484.813216189365 30.0009994506836 120 84
"86" 2 0 -41.75 -12.4166666666667 126.531250241965 28.335750579834 117 8
"87" 1 0 -53.4166666666667 -30.9166666666667 419.643441374861 28.9342498779297 143 103
"88" 2 0 -47.75 -24.4166666666667 289.553867154306 30.8425006866455 244 61
"89" 1 0 -53.0833333333333 -25.0833333333333 305.03067370683 27.3027496337891 218 95
"90" 2 0 -40.4166666666667 -9.25 130.890841276897 33.8512496948242 122 3
"91" 3 0 -51.4166666666667 -29.4166666666667 344.654414358521 27.2285003662109 154 109
"92" 2 0 -46.4166666666667 -18.75 165.434849191406 28.9424991607666 285 10
"93" 2 0 -39.75 -11.25 174.320740142722 31.3947505950928 82 13
"94" 1 0 -46.9166666666667 -18.75 159.407743765772 27.2509994506836 330 9
"95" 2 0 -42.25 -14.9166666666667 149.269738873977 28.7367496490479 167 2
"96" 1 0 -54.0833333333333 -21.25 215.760802351602 31.1475009918213 207 35
"97" 3 0 -40.75 -10.9166666666667 156.757879479191 29.9642505645752 91 7
"98" 3 0 -52.25 -19.75 203.4333495785 32.2309989929199 258 23
"99" 3 0 -52.75 -24.0833333333333 285.763860359602 29.0152492523193 170 77
"100" 2 0 -53.9166666666667 -29.75 404.838519630106 30.0349998474121 154 129
"101" 1 0 -40.9166666666667 -14.9166666666667 160.425651287282 27.20924949646 156 16
"102" 3 0 -53.4166666666667 -20.9166666666667 215.614838728157 31.7912502288818 203 32
"103" 3 0 -41.25 -21.9166666666667 197.323209757836 32.0929985046387 150 29
"104" 2 0 -40.9166666666667 -5.91666666666666 91.8531809201108 30.02174949646 213 3
"105" 2 0 -39.9166666666667 -19.4166666666667 194.394287488748 30.9852504730225 185 45
"106" 3 0 -39.25 -16.4166666666667 154.868287913773 29.7117500305176 150 87
"107" 3 0 -44.0833333333333 -15.0833333333333 137.882805352027 32.1512489318848 214 1
"108" 2 0 -35.4166666666667 -8.58333333333333 115.044631811927 28.85325050354 315 43
"109" 1 0 -46.25 -15.4166666666667 141.143699474867 31.3012504577637 316 4
"110" 1 0 -40.5833333333333 -12.25 160.217543485982 28.9400005340576 101 24
"111" 2 0 -39.75 -8.91666666666666 170.581001900417 32.1932487487793 104 2
"112" 2 0 -55.4166666666667 -34.5833333333333 440.367976798955 26.8934993743896 109 79
"113" 3 0 -48.75 -16.75 123.367134897079 29.0167503356934 286 10
"114" 1 0 -39.9166666666667 -14.9166666666667 157.736593088072 28.3619995117188 136 41
"115" 3 0 -49.4166666666667 -20.0833333333333 196.142686990832 32.2982482910156 249 14
"116" 3 0 -53.0833333333333 -27.25 387.909796457733 29.6499996185303 203 133
"117" 1 0 -54.0833333333333 -26.9166666666667 379.012993651722 29.7560005187988 185 124
"118" 3 0 -49.5833333333333 -19.4166666666667 184.358388010458 31.3665008544922 263 15
"119" 2 0 -36.4166666666667 -5.75 114.759733352587 31.5642490386963 131 1
"120" 1 0 -39.4166666666667 -3.75 60.6956844546679 32.232250213623 239 3
"121" 3 0 -52.25 -19.5833333333333 198.873719671563 32.1525001525879 265 23
"122" 2 0 -53.4166666666667 -20.5833333333333 203.549947384459 31.5370006561279 218 33
"123" 3 0 -52.4166666666667 -26.4166666666667 327.230053405358 27.0692501068115 229 135
"124" 1 0 -52.9166666666667 -22.4166666666667 250.760371535296 31.1844997406006 154 33
"125" 1 0 -35.25 -6.08333333333333 114.316872115281 31.4287490844727 214 15
"126" 1 0 -45.75 -20.0833333333333 246.361645699428 31.8262500762939 279 13
"127" 3 0 -48.5833333333333 -17.0833333333333 146.524701958538 30.0515003204346 293 10
"128" 3 0 -46.25 -21.4166666666667 234.251011056763 29.767749786377 274 21
"129" 2 0 -42.0833333333333 -21.25 241.464018282497 31.9799995422363 236 18
"130" 2 0 -52.4166666666667 -30.0833333333333 401.238901592801 29.431999206543 146 94
"131" 2 0 -48.4166666666667 -23.4166666666667 246.843743196317 28.9962501525879 198 35
"132" 2 0 -39.4166666666667 -9.41666666666666 185.692716797573 31.5547504425049 94 4
"133" 2 0 -46.75 -16.0833333333333 151.422550495946 30.1669998168945 266 7
"134" 2 0 -51.9166666666667 -28.0833333333333 350.785497936819 27.9444999694824 198 120
"135" 1 0 -37.25 -9.58333333333333 191.767156313729 31.6327495574951 106 14
"136" 1 0 -53.5833333333333 -25.9166666666667 359.966228468384 29.2175006866455 221 102
"137" 2 0 -41.25 -12.9166666666667 129.623246667568 29.1252498626709 154 16
"138" 1 0 -51.9166666666667 -25.75 310.738538203144 26.558500289917 189 107
"139" 2 0 -41.25 -15.4166666666667 165.956450916495 28.3360004425049 180 8
"140" 2 0 -55.75 -32.9166666666667 477.348146070785 29.7315006256104 114 89
"141" 3 0 -46.0833333333333 -19.0833333333333 180.290161328189 28.5855007171631 290 13
"142" 2 0 -36.75 -5.91666666666666 103.262302451284 33.3170013427734 192 4
"143" 2 0 -41.75 -9.25 100.47486597881 34.0530014038086 122 0
"144" 2 0 -43.4166666666667 -20.0833333333333 210.260377638007 28.3425006866455 310 15
"145" 3 0 -36.5833333333333 -6.08333333333333 100.036898747572 30.414249420166 171 3
"146" 2 0 -55.9166666666667 -25.25 351.706678726122 31.6515007019043 194 80
"147" 1 0 -50.9166666666667 -21.4166666666667 264.157216692394 31.4992504119873 202 20
"148" 3 0 -52.25 -31.75 402.119886512113 28.2843456268311 136 75
"149" 1 0 -41.9166666666667 -20.0833333333333 224.115329041404 30.0890007019043 221 18
"150" 1 0 -41.0833333333333 -7.25 101.998419107387 33.5892486572266 169 1
"151" 2 0 -40.75 -3.91666666666666 73.6455528563489 33.7412490844727 295 2
"152" 2 0 -54.5833333333333 -23.5833333333333 305.414371479355 31.2582492828369 196 63
"153" 1 0 -44.4166666666667 -21.25 221.892730486006 28.7397499084473 318 14
"154" 3 0 -49.5833333333333 -21.0833333333333 223.312095594098 31.6932506561279 212 15
"155" 1 0 -46.4166666666667 -19.9166666666667 212.092920747178 28.5002498626709 310 14
"156" 3 0 -50.25 -30.4166666666667 345.723911912599 27.5044937133789 148 88
"157" 3 0 -41.0833333333333 -4.58333333333333 83.8100674530457 31.8010005950928 203 1
"158" 2 0 -49.75 -24.0833333333333 280.844082488507 29.013500213623 184 50
"159" 3 0 -55.0833333333333 -24.0833333333333 317.288028743211 31.068000793457 193 77
"160" 1 0 -48.25 -22.75 243.869037557431 29.8784999847412 226 28
"161" 1 0 -46.5833333333333 -18.0833333333333 153.325504805655 30.5345001220703 314 8
"162" 2 0 -39.0833333333333 -16.5833333333333 155.919384097731 30.015344619751 162 95
"163" 3 0 -54.5833333333333 -28.9166666666667 395.334619678506 30.4732494354248 177 136
"164" 3 0 -41.5833333333333 -13.4166666666667 124.184375803709 28.5737495422363 132 11
"165" 3 0 -42.25 -12.4166666666667 112.2780139437 28.6817493438721 127 1
"166" 1 0 -41.75 -13.0833333333333 120.821488257447 26.8017501831055 157 21
"167" 2 0 -43.0833333333333 -17.4166666666667 177.204902345152 29.5127506256104 238 5
"168" 2 0 -39.25 -7.75 146.956473128318 31.1025009155273 196 4
"169" 2 0 -48.5833333333333 -28.0833333333333 307.765451685515 28.8400001525879 178 89
"170" 1 0 -51.5833333333333 -24.75 291.419661257514 27.3472499847412 203 86
"171" 3 0 -50.75 -30.0833333333333 347.726369101058 28.24049949646 147 92
"172" 1 0 -41.9166666666667 -10.9166666666667 126.185409568934 32.7482490539551 103 1
"173" 3 0 -46.75 -22.0833333333333 229.731554428493 29.1647491455078 266 23
"174" 1 0 -40.9166666666667 -18.0833333333333 184.019798860117 31.7889995574951 178 26
"175" 2 0 -47.75 -15.9166666666667 132.962973871512 28.6650009155273 271 7
"176" 1 0 -41.0833333333333 -9.91666666666666 132.267120827928 30.8339996337891 95 1
"177" 3 0 -36.0833333333333 -7.08333333333333 136.436061682228 28.5125007629395 106 4
"178" 1 0 -40.5833333333333 -3.75 71.0098569620598 33.9467506408691 282 2
"179" 3 0 -53.4166666666667 -30.0833333333333 410.626824431653 29.7835006713867 142 114
"180" 3 0 -49.75 -28.5833333333333 293.608203002419 23.3782501220703 173 109
"181" 1 0 -40.4166666666667 -10.9166666666667 157.944253519599 29.8735008239746 117 27
"182" 3 0 -48.9166666666667 -25.75 285.90178717996 26.6809997558594 236 83
"183" 2 0 -52.5833333333333 -26.4166666666667 331.463724341179 27.5919990539551 206 132
"184" 3 0 -49.4166666666667 -25.75 299.97952689448 25.8072509765625 169 70
"185" 3 0 -49.25 -22.75 241.240563231627 30.181999206543 196 27
"186" 2 0 -48.0833333333333 -21.0833333333333 198.702897369943 30.6485004425049 261 16
"187" 2 0 -43.0833333333333 -21.75 224.435012606292 29.4817504882812 267 18
"188" 1 0 -58.0833333333333 -29.0833333333333 458.746781378355 31.8727493286133 150 55
"189" 1 0 -53.9166666666667 -31.5833333333333 429.166649269926 29.3757495880127 136 97
"190" 3 0 -48.5833333333333 -23.5833333333333 258.848582477088 29.525749206543 196 35
"191" 3 0 -43.5833333333333 -17.0833333333333 165.721157072074 30.0157508850098 240 3
"192" 3 0 -39.25 -10.5833333333333 187.693852099564 31.0942497253418 70 14
"193" 3 0 -46.4166666666667 -19.4166666666667 190.910293467112 28.3207492828369 313 14
"194" 1 0 -56.0833333333333 -30.0833333333333 447.685194294907 30.4379997253418 158 98
"195" 2 0 -42.9166666666667 -18.75 236.617734552324 28.892749786377 300 13
"196" 1 0 -40.5833333333333 -10.0833333333333 155.351378601174 31.0152492523193 79 2
"197" 2 0 -49.4166666666667 -28.25 312.101220349311 27.6637496948242 187 84
"198" 1 0 -37.75 -5.75 111.299639790003 34.0795021057129 202 3
"199" 3 0 -50.25 -22.25 274.984294578121 31.2082500457764 196 33
"200" 2 0 -46.9166666666667 -15.9166666666667 145.528718587363 29.5454998016357 274 6
"201" 2 0 -39.5833333333333 -15.4166666666667 156.743572144915 28.2145004272461 138 70
"202" 2 0 -48.25 -23.4166666666667 249.452501797228 28.8882503509521 199 33
"203" 2 0 -52.4166666666667 -27.9166666666667 352.673044845105 28.480749130249 197 122
"204" 3 0 -56.9166666666667 -28.25 420.079211051531 31.4167499542236 156 75
"205" 1 0 -56.75 -27.9166666666667 409.690065258296 31.6125011444092 165 78
"206" 3 0 -41.0833333333333 -5.58333333333333 89.5189574541295 30.8787498474121 237 5
"207" 3 0 -54.9166666666667 -34.4166666666667 424.628542471739 26.1147499084473 111 83
