"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"1" 3 1 -46.3333333 -15.5 149.462194699328 31.9227504730225 273 4
"2" 1 1 -46.3333333 -13.6666667 89.2306823478023 30.0834999084473 270 2
"3" 2 1 -43.0405555 -16.8580556 168.700900614447 29.1100006103516 231 5
"5" 2 1 -46.25 -19.3333333 183.271556628684 28.1622505187988 301 14
"7" 1 1 -48.4269445 -14.3405555 106.017347695606 30.6882495880127 257 5
"8" 2 1 -55.03 -9.3636111 67.5054323767665 32.5584983825684 343 9
"9" 1 1 -42.2691667 -22.5005556 222.494579820247 31.6639995574951 172 29
"11" 3 1 -42.3461111 -22.5322223 224.37537142215 31.5580005645752 169 26
"12" 3 1 -42.0425 -22.9436111 211.491333226079 28.9952373504639 149 32
"13" 3 1 -41.0188889 -21.2072222 207.983517518674 31.8757495880127 166 30
"14" 1 1 -46.6172223 -8.5491666 77.2462769687086 32.568000793457 205 2
"17" 2 1 -42.4244445 -22.9205556 216.424240957944 30.7070827484131 164 28
"18" 2 1 -72.9625 -7.5980556 54.3667783107178 30.820499420166 290 60
"19" 1 1 -34.85 -7.1 95.2173629443287 30.952507019043 293 38
"21" 2 1 -43.59 -20.4633333 204.487935587301 26.0667495727539 304 15
"22" 3 1 -60.0005556 -13.1247223 93.4405436567737 31.6809997558594 318 11
"23" 1 1 -42.6019444 -22.9316667 214.593578164833 30.4172840118408 175 25
"24" 3 1 -42.0166667 -20.7166667 233.749530495031 29.4362506866455 229 20
"26" 3 1 -48.7805556 -2.2033333 39.4761958927851 31.8990001678467 423 64
"27" 3 1 -54.9313889 -2.5186111 65.6442810641894 31.9664993286133 328 34
"28" 1 1 -54.9577778 -2.4947222 63.8408072552119 31.4610004425049 333 28
"29" 3 1 -47.4930555 -15.9783334 143.027992921663 29.0540008544922 269 6
"30" 1 1 -47.98 -15.7575 115.678283182596 28.1842498779297 250 8
"31" 3 1 -34.9686111 -8.0786111 101.75680761429 29.998966217041 227 27
"32" 1 1 -42.7369444 -22.4011111 231.215315761927 28.1357498168945 233 30
"33" 1 1 -43.7352777 -22.3586111 237.516631944763 29.2872505187988 240 25
"36" 2 1 -46.6211111 -10.3672223 86.6389965701396 32.5027503967285 224 1
"37" 3 1 -42.5752778 -15.1127778 144.68904606691 28.24049949646 200 2
"38" 2 1 -47.3813889 -6.9325 56.7842476184793 32.6829986572266 284 12
"39" 3 1 -47.7713889 -12.9 102.314783932927 33.265998840332 251 1
"40" 1 1 -43.0288889 -16.3169445 175.058794754177 29.1350002288818 213 4
"44" 2 1 -41.0463889 -21.7980555 196.832804208436 32.2142066955566 150 28
"45" 2 1 -34.9925 -7.8122222 108.539441021279 30.4082660675049 282 37
"46" 2 1 -50.3666667 -22.5833333 268.945119992738 30.4104995727539 196 38
"47" 2 1 -35.1888889 -5.9291667 106.427789483111 30.9553852081299 230 17
"48" 3 1 -41.1166667 -12.0166667 155.216750106235 28.8675003051758 100 17
"49" 1 1 -47.6327778 -14.1647222 88.4352136365719 26.8017501831055 290 6
"51" 1 1 -40.0372222 -19.2761111 193.911606113284 31.28125 184 40
"1100" 1 0 -43.75 -5.41666666666666 110.550558099076 34.7335014343262 268 5
"2100" 2 0 -58.25 -17.4166666666667 205.30404821599 34.658748626709 220 25
"3100" 2 0 -74.4166666666667 -5.08333333333333 39.0226630037023 32.2519989013672 244 118
"4" 3 0 -57.0833333333333 -21.25 279.831001255825 33.3232498168945 176 37
"5100" 3 0 -41.9166666666667 -3.58333333333333 83.2953166657988 33.6472511291504 301 11
"6" 3 0 -76.9166666666667 -8.08333333333333 28.0696186483054 26.0247497558594 161 44
"7100" 2 0 -47.75 -3.25 40.9047899787297 31.7870006561279 379 42
"8100" 1 0 -75.5833333333333 -6.25 34.8321938432557 32.708251953125 277 95
"9100" 1 0 -54.5833333333333 -19.4166666666667 185.35883314084 30.7517509460449 249 34
"10" 1 0 -59.75 1.58333333333334 58.6174670788058 32.340747833252 347 49
"1110" 1 0 -50.9166666666667 -8.08333333333333 37.6857365173804 32.6887512207031 283 11
"1210" 3 0 -69.0833333333333 -13.0833333333333 108.618610157497 31.2185001373291 372 80
"1310" 2 0 -79.25 -5.75 31.4071709155838 20.6499996185303 166 41
"1410" 1 0 -42.4166666666667 -17.0833333333333 172.690053000248 30.9842491149902 204 5
"15" 3 0 -49.0833333333333 -26.75 318.494492879792 28.392749786377 209 91
"16" 2 0 -35.25 -8.91666666666666 102.606134871302 28.375452041626 270 44
"1710" 2 0 -56.4166666666667 -26.0833333333333 370.57975452253 31.980749130249 167 64
"1810" 1 0 -66.5833333333333 -8.08333333333333 52.2238293116157 31.5230007171631 299 33
"1910" 3 0 -59.5833333333333 4.58333333333334 50.8569343329448 29.7547492980957 363 89
"20" 2 0 -75.25 -7.58333333333333 30.8626429835848 32.6917495727539 232 77
"2110" 1 0 -62.0833333333333 -7.91666666666666 37.7179967213281 31.5764999389648 345 20
"2210" 1 0 -73.75 -7.91666666666666 50.422630676245 30.8920001983643 275 57
"2310" 2 0 -56.9166666666667 -17.0833333333333 199.919415267581 33.8282508850098 215 21
"2410" 3 0 -70.25 -5.58333333333333 41.7058947514131 31.1002502441406 305 95
"25" 1 0 -50.0833333333333 -28.9166666666667 294.265074474306 23.63450050354 171 124
"2610" 1 0 -50.25 -0.75 56.3586685759981 32.4965019226074 389 44
"2710" 1 0 -60.25 -4.08333333333333 42.1464601930797 32.2907485961914 274 74
"2810" 2 0 -51.5833333333333 -0.0833333333333286 65.7136069894139 32.9954986572266 337 42
"2910" 3 0 -73.4166666666667 -6.75 46.3232723972559 31.0599994659424 288 88
"3010" 2 0 -73.75 -2.58333333333333 50.7421742275347 31.49049949646 361 240
"3110" 1 0 -65.4166666666667 -8.08333333333333 44.0520107322639 31.810998916626 312 25
"3210" 1 0 -47.25 -0.75 50.292762571996 31.274730682373 495 11
"3310" 1 0 -58.5833333333333 -9.41666666666666 38.6659201031866 32.2962493896484 309 5
"34" 2 0 -56.0833333333333 -15.0833333333333 132.563618086343 32.2480010986328 202 16
"35" 3 0 -56.75 5.58333333333334 58.2184017016524 32.5957489013672 312 79
"3610" 3 0 -73.75 -10.0833333333333 51.0393466639541 32.0179977416992 222 50
"3710" 1 0 -73.25 -10.9166666666667 57.734107623216 31.7924995422363 223 48
"3810" 1 0 -62.9166666666667 -0.75 33.9134880168545 31.5815010070801 327 139
