"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_04" "wc2.0_bio_10m_05" "wc2.0_bio_10m_13" "wc2.0_bio_10m_14"
"1" 2 1 -42.9991666 -22.4563889 230.480802557151 27.2337493896484 276 37
"2" 1 1 -48.8694445 -25.5977777 276.839049501783 26.3657493591309 243 88
"3" 2 1 -49.5002778 -26.9102778 319.106249191286 26.1927509307861 179 94
"4" 3 1 -49.4977777 -26.9097222 319.554274158392 27.1577491760254 188 98
"5" 1 1 -49.0477777 -26.1925 298.975770231652 25.8092498779297 211 84
"6" 1 1 -49.5016667 -27.36 327.936818601181 27.1457500457764 185 102
"8" 3 1 -50.1294445 -26.9994444 329.84290883905 26.3542499542236 168 95
"9" 3 1 -43.4213889 -22.5813889 224.895367340786 29.5942497253418 264 50
"10" 2 1 -40.5383333 -19.9747223 198.71825799419 28.324499130249 202 50
"11" 3 1 -48.9658333 -25.8683334 284.575062228894 25.7817497253418 235 87
"12" 2 1 -50.9980555 -29.7866666 342.918717482232 28.119499206543 148 101
"14" 1 1 -49.0108333 -25.3886111 274.469642280386 26.5662498474121 225 84
"15" 2 1 -49.1947222 -27.0927777 316.048123739337 26.7152500152588 195 96
"1100" 1 0 -52.25 -26.4166666666667 324.995132576762 26.625 232 132
"2100" 2 0 -47.5833333333333 -24.0833333333333 267.795209036923 28.195499420166 250 67
"3100" 2 0 -49.4166666666667 -27.0833333333333 326.489766214939 27.9492492675781 184 102
"4100" 3 0 -45.25 -19.25 203.458007897886 31.7517490386963 259 9
"5100" 3 0 -54.0833333333333 -30.9166666666667 415.781269157721 28.7992496490479 149 111
"6100" 3 0 -54.25 -31.5833333333333 433.992989259771 29.4277496337891 133 99
"7" 2 0 -53.0833333333333 -27.0833333333333 390.2334326152 30.1200008392334 206 137
"8100" 1 0 -43.75 -19.0833333333333 211.810560332797 28.9720001220703 282 7
"9100" 1 0 -52.25 -27.5833333333333 344.755842053124 27.7970008850098 198 126
"1010" 1 0 -51.0833333333333 -23.5833333333333 271.357721817688 29.6389999389648 199 61
"1110" 1 0 -40.0833333333333 -17.75 175.676424798272 31.41575050354 155 43
"1210" 3 0 -49.4166666666667 -26.25 310.857884799335 25.5467491149902 179 83
"13" 2 0 -50.0833333333333 -27.25 329.963350165269 26.4064998626709 171 103
"1410" 1 0 -44.75 -20.75 210.436822964215 28.3827495574951 340 17
"1510" 3 0 -39.4166666666667 -17.75 164.441728319392 30.4754390716553 173 79
"16" 2 0 -40.4166666666667 -17.25 179.69129372432 31.7007503509521 166 40
"17" 2 0 -50.5833333333333 -26.25 335.416359391177 26.9047508239746 162 84
"18" 1 0 -47.75 -22.9166666666667 246.257323352065 29.0995006561279 217 25
"19" 3 0 -47.25 -21.5833333333333 228.312024897699 30.2697505950928 252 20
"20" 2 0 -54.75 -30.9166666666667 432.853177101217 29.7189998626709 139 112
"21" 1 0 -45.5833333333333 -20.4166666666667 232.646144703402 30.3232498168945 281 17
"22" 1 0 -52.25 -26.5833333333333 329.516327201939 27.3924999237061 231 136
"23" 2 0 -40.75 -19.25 193.028413058054 31.419750213623 189 30
"24" 3 0 -41.75 -19.75 208.559458185376 30.9965000152588 212 20
"25" 1 0 -43.4166666666667 -19.4166666666667 214.491356283988 28.5074996948242 324 15
"26" 1 0 -53.9166666666667 -27.25 392.471477414817 30.255500793457 190 135
"27" 1 0 -52.0833333333333 -28.0833333333333 354.284560398829 28.16575050354 199 121
"28" 2 0 -43.0833333333333 -21.5833333333333 225.097621730146 30.2880001068115 261 14
"29" 3 0 -42.4166666666667 -20.25 227.652716696331 29.9249992370605 243 17
"30" 2 0 -44.25 -18.4166666666667 207.436584376412 32.0714988708496 218 5
"31" 1 0 -43.0833333333333 -18.4166666666667 228.689994756674 29.1714992523193 281 11
"32" 1 0 -50.25 -25.4166666666667 305.908960660801 27.113000869751 191 77
"33" 1 0 -46.4166666666667 -22.25 225.765445969274 28.789249420166 277 27
"34" 2 0 -53.5833333333333 -30.9166666666667 418.346038456453 29.0659999847412 145 105
"35" 3 0 -42.4166666666667 -20.0833333333333 221.136589463987 31.1119995117188 238 14
"36" 3 0 -50.25 -23.75 281.316069582622 29.6457500457764 177 63
"37" 1 0 -40.0833333333333 -19.4166666666667 196.379878606082 31.2950000762939 186 38
"38" 1 0 -48.75 -24.4166666666667 316.613057364459 27.2162494659424 189 55
"39" 1 0 -46.5833333333333 -23.25 230.091963586373 25.84375 239 29
"40" 3 0 -46.75 -21.0833333333333 220.590144045592 28.0832500457764 275 17
"41" 1 0 -54.9166666666667 -30.4166666666667 427.122720131149 29.9827499389648 146 113
"42" 1 0 -52.4166666666667 -23.5833333333333 290.763297764381 29.7657508850098 159 58
"43" 3 0 -48.75 -22.0833333333333 235.890926385946 30.8225002288818 225 21
"44" 1 0 -46.5833333333333 -21.9166666666667 226.843896127681 27.1219997406006 305 26
"45" 3 0 -50.0833333333333 -21.75 264.580650063074 31.2767505645752 199 25
"46" 1 0 -41.75 -17.5833333333333 187.059681642007 30.2417507171631 191 14
"47" 1 0 -47.75 -22.75 250.352143142394 29.3512496948242 231 25
"48" 2 0 -54.25 -31.0833333333333 419.806559547431 28.9064998626709 147 109
"49" 1 0 -43.4166666666667 -21.25 216.093618442881 29.7037506103516 266 18
"50" 1 0 -49.25 -21.5833333333333 241.473601986618 31.5244998931885 229 20
"51" 2 0 -46.5833333333333 -22.25 225.16243653672 28.36549949646 276 25
"52" 1 0 -43.4166666666667 -19.0833333333333 233.506164116296 29.9179992675781 293 12
"53" 2 0 -46.75 -22.75 233.478847841381 27.3649997711182 232 29
"54" 1 0 -49.5833333333333 -22.4166666666667 259.12148748873 30.6252498626709 210 31
"55" 1 0 -53.9166666666667 -32.5833333333333 444.592339709796 28.5912494659424 129 88
"56" 2 0 -48.5833333333333 -26.75 316.492474134945 28.9962272644043 223 84
"57" 3 0 -49.75 -26.0833333333333 308.975733134175 26.2767505645752 164 75
"58" 2 0 -52.0833333333333 -27.9166666666667 352.720125418742 28.07200050354 198 121
"59" 1 0 -54.5833333333333 -31.4166666666667 440.510481115747 29.66575050354 133 104
"60" 1 0 -52.0833333333333 -31.0833333333333 399.613847427789 28.2062492370605 135 89
"61" 3 0 -44.25 -19.75 188.797470229588 30.1800003051758 305 13
"62" 2 0 -46.75 -24.0833333333333 241.587312484803 30.3059139251709 302 91
"63" 2 0 -54.4166666666667 -28.75 392.489121209062 30.7239990234375 181 137
"64" 2 0 -52.25 -24.75 296.392012331046 28.1002502441406 211 81
"65" 2 0 -49.0833333333333 -22.0833333333333 232.362211317984 30.8994998931885 207 26
"66" 3 0 -51.0833333333333 -27.5833333333333 332.60788568509 25.8807506561279 179 111
"67" 3 0 -51.9166666666667 -27.9166666666667 349.530750124763 27.7250003814697 198 119
"68" 3 0 -41.9166666666667 -18.5833333333333 188.523607220402 32.6749992370605 209 17
"69" 3 0 -53.9166666666667 -26.9166666666667 379.469719237448 29.5109996795654 190 131
"70" 1 0 -42.75 -18.0833333333333 209.051533408917 28.6420001983643 266 11
