"kappa";"spec_sens";"no_omission";"prevalence";"equal_sens_spec";"sensitivity";"AUC";"TSS";"algoritmo";"partition"
-1e-04;-1e-04;-1e-04;-1e-04;0.16656667;0.16656667;0.333333333333333;0;"BioClim";1
0.83830549;0.83830549;0.83830549;0.63796903;0.83830549;0.85487725;0.833333333333333;0.833333333333333;"maxent";1
-1e-04;-1e-04;-1e-04;-1e-04;0.33323333;0.33323333;0.315789473684211;0;"BioClim";2
0.51747765;0.51747765;0.51747765;0.45418547;0.51921888;0.51921888;0.157894736842105;0.157894736842105;"maxent";2
-1e-04;-1e-04;-1e-04;-1e-04;0.33323333;0.33323333;0.361111111111111;0;"BioClim";3
0.82440396;0.82440396;0.82440396;0.38690396;0.82440396;0.82624705;0.944444444444444;0.944444444444444;"maxent";3
0.33323333;0.33323333;0.33323333;-1e-04;0.33323333;0.4999;0.815789473684211;0.684210526315789;"BioClim";4
0.78116395;0.78116395;0.78116395;0.44369547;0.78116395;0.78684385;0.578947368421053;0.578947368421053;"maxent";4
0.66656667;0.66656667;0.66656667;-1e-04;0.66656667;0.66666667;0.972222222222222;0.944444444444444;"BioClim";5
0.80855127;0.80855127;0.80855127;0.50469734;0.80855127;0.81199373;0.777777777777778;0.777777777777778;"maxent";5
-1e-04;-1e-04;-1e-04;-1e-04;0.33323333;0.33323333;0.473684210526316;0;"BioClim";6
0.49914013;0.49914013;0.49914013;0.47962143;0.56021656;0.56021656;0.0526315789473684;0.0526315789473684;"maxent";6
-1e-04;-1e-04;-1e-04;-1e-04;0.33323333;0.33323333;0.388888888888889;0;"BioClim";7
0.80944862;0.80944862;0.80944862;0.52581127;0.80944862;0.80997916;0.777777777777778;0.777777777777778;"maxent";7
