"group.all" "pa" "lon" "lat" "wc2.0_bio_10m_05" "wc2.0_bio_10m_06" "wc2.0_bio_10m_12" "wc2.0_bio_10m_13"
"1" 2 1 -41.336139 -13.07775 26.5904998779297 11.8299999237061 947 151
"2" 6 1 -41.306389 -12.881667 29.1252498626709 14.2779998779297 941 154
"3" 1 1 -41.195833 -11.435 26.2742500305176 11.9672498703003 660 101
"6" 3 1 -41.211667 -11.5975 26.0467491149902 11.7732496261597 740 103
"10" 5 1 -41.079722 -11.6175 26.5387496948242 11.90625 799 103
"11" 4 1 -40.9291667 -11.6427777 27.6122493743896 12.41575050354 785 101
"14" 7 1 -41.1166667 -11.45 27.081750869751 12.0522499084473 693 98
"130" 7 0 -41.4166666666667 -13.75 27.4227504730225 12.7347497940063 761 134
"210" 5 0 -41.25 -12.75 30.8129997253418 15.4744997024536 1005 156
"310" 7 0 -40.75 -11.0833333333333 29.0467491149902 13.0310001373291 610 98
"4" 2 0 -40.5833333333333 -11.0833333333333 29.8142509460449 13.8167495727539 765 107
"5" 6 0 -41.75 -13.25 27.6222496032715 12.5170001983643 925 149
"610" 5 0 -40.4166666666667 -12.0833333333333 29.2152500152588 14.5172500610352 844 106
"7" 4 0 -40.9166666666667 -13.25 28.4479999542236 14.6802501678467 717 123
"8" 2 0 -41.25 -12.5833333333333 30.4372501373291 15.0924997329712 1049 158
"9" 2 0 -40.75 -13.4166666666667 28.9482498168945 15.6140003204346 621 118
"1010" 4 0 -41.5833333333333 -12.5833333333333 27.2042503356934 12.5659999847412 781 123
"1110" 3 0 -41.0833333333333 -13.5833333333333 28.4174995422363 14.6645002365112 729 142
"12" 3 0 -41.5833333333333 -12.9166666666667 26.8719997406006 11.4180002212524 885 141
"13" 2 0 -41.25 -12.4166666666667 29.2569999694824 14.2262496948242 935 142
"141" 3 0 -41.0833333333333 -12.75 30.0122509002686 14.8957500457764 885 139
"15" 6 0 -40.75 -11.9166666666667 28.1322498321533 13.0544996261597 876 106
"16" 2 0 -41.25 -13.25 26.5547504425049 12.0600004196167 986 149
"17" 4 0 -41.0833333333333 -11.9166666666667 27.3495006561279 12.5590000152588 782 98
"18" 1 0 -40.75 -12.0833333333333 28.4377498626709 13.4794998168945 789 99
"19" 2 0 -41.25 -13.5833333333333 27.4939994812012 12.5167503356934 877 145
"20" 7 0 -41.25 -12.0833333333333 27.3610000610352 12.4942502975464 852 106
"21" 5 0 -41.75 -13.5833333333333 28.7522506713867 13.9442501068115 705 135
"22" 6 0 -41.9166666666667 -12.5833333333333 27.7754993438721 11.8690004348755 658 119
"23" 2 0 -40.75 -11.75 28.105749130249 12.7012500762939 893 111
"24" 5 0 -40.4166666666667 -11.5833333333333 29.7922496795654 14.1177501678467 781 97
"25" 5 0 -41.75 -11.9166666666667 29.4540004730225 13.3547496795654 619 106
"26" 6 0 -41.5833333333333 -11.0833333333333 30.08424949646 14.0717496871948 545 98
"27" 5 0 -40.9166666666667 -13.4166666666667 28.5872497558594 14.9297504425049 690 129
"28" 2 0 -41.4166666666667 -13.25 27.0739994049072 11.3942499160767 929 144
"29" 6 0 -41.5833333333333 -10.9166666666667 31.226749420166 14.8492498397827 548 99
"30" 4 0 -41.4166666666667 -11.9166666666667 26.86549949646 11.8959999084473 787 101
"31" 2 0 -40.9166666666667 -11.75 27.1459999084473 12.2822504043579 856 104
"32" 2 0 -41.4166666666667 -13.5833333333333 26.2672500610352 11.3470001220703 959 147
"33" 3 0 -41.4166666666667 -12.0833333333333 26.9502506256104 11.9165000915527 871 105
"34" 2 0 -41.25 -12.25 28.3719997406006 13.4322500228882 840 123
"35" 7 0 -40.9166666666667 -12.75 28.6612491607666 14.3660001754761 775 119
"36" 5 0 -41.4166666666667 -11.5833333333333 28.6439990997314 13.3555002212524 603 103
"37" 7 0 -41.5833333333333 -11.5833333333333 29.7045001983643 13.7825002670288 585 106
"38" 4 0 -41.5833333333333 -13.0833333333333 26.9564990997314 11.5412502288818 937 146
"39" 4 0 -41.0833333333333 -11.25 28.8312492370605 12.7405004501343 559 98
"40" 1 0 -41.75 -11.5833333333333 29.8697490692139 13.8112497329712 569 107
"41" 3 0 -40.75 -10.9166666666667 29.9642505645752 13.5822496414185 497 91
"42" 1 0 -40.75 -11.25 28.300500869751 12.6647500991821 691 98
"43" 5 0 -40.5833333333333 -11.75 29.0655002593994 13.6662502288818 787 97
"44" 4 0 -40.4166666666667 -11.25 30.1767501831055 14.3065004348755 832 113
"45" 1 0 -41.4166666666667 -12.5833333333333 28.1040000915527 13.3605003356934 1011 146
"46" 5 0 -41.0833333333333 -12.0833333333333 28.8675003051758 13.7145004272461 680 100
"47" 7 0 -41.4166666666667 -13.4166666666667 26.5795001983643 10.9092502593994 1005 147
"48" 6 0 -40.9166666666667 -12.5833333333333 28.4545001983643 13.8144998550415 715 107
"49" 2 0 -40.5833333333333 -11.4166666666667 29.0655002593994 13.5827503204346 724 99
"50" 1 0 -40.75 -12.75 28.4202499389648 14.4350004196167 742 109
"51" 4 0 -41.5833333333333 -13.25 28.0327491760254 12.8482503890991 841 140
"52" 5 0 -41.0833333333333 -11.0833333333333 30.201000213623 13.793999671936 475 90
"53" 4 0 -40.75 -12.9166666666667 28.7922496795654 14.9899997711182 781 117
"54" 6 0 -41.75 -12.5833333333333 28.1717491149902 12.6780004501343 657 111
"55" 3 0 -41.75 -11.0833333333333 30.2654991149902 14.3307495117188 576 104
"56" 1 0 -40.75 -12.5833333333333 28.6814994812012 14.3929996490479 680 99
"57" 7 0 -40.9166666666667 -11.4166666666667 27.3682498931885 12.1809997558594 717 94
"58" 4 0 -41.4166666666667 -11.75 27.9472503662109 12.7832498550415 666 100
"59" 6 0 -41.75 -11.25 29.9082508087158 14.0267496109009 579 106
"60" 3 0 -41.0833333333333 -13.25 29.1280002593994 14.8050003051758 777 140
"61" 3 0 -40.4166666666667 -11.9166666666667 29.0690002441406 14.1847496032715 914 103
"62" 2 0 -41.5833333333333 -11.25 29.4930000305176 13.4180002212524 553 102
"63" 3 0 -41.4166666666667 -12.4166666666667 28.5302505493164 13.6142501831055 938 136
"64" 5 0 -41.4166666666667 -12.75 27.0402507781982 12.4787502288818 990 147
"65" 4 0 -41.9166666666667 -12.75 27.3530006408691 11.6035003662109 708 127
"66" 4 0 -41.9166666666667 -13.25 25.9985008239746 11.2657499313354 1063 182
"67" 7 0 -41.0833333333333 -12.25 29.0445003509521 13.9619998931885 742 115
"68" 1 0 -40.75 -11.5833333333333 29.1257495880127 13.5059995651245 754 104
"69" 5 0 -41.5833333333333 -12.0833333333333 28.7189998626709 13.1020002365112 716 105
"70" 3 0 -40.25 -11.5833333333333 30.6469993591309 14.4075002670288 764 98
"71" 2 0 -41.5833333333333 -11.9166666666667 28.8439998626709 13.15149974823 666 104
"72" 1 0 -40.5833333333333 -11.5833333333333 29.2572498321533 13.7867498397827 740 96
"73" 2 0 -41.75 -12.4166666666667 28.335750579834 12.9992504119873 713 117
"74" 7 0 -40.75 -13.0833333333333 29.6009998321533 15.6927499771118 747 120
"75" 7 0 -41.4166666666667 -12.9166666666667 26.38450050354 11.9729995727539 985 154
"76" 4 0 -40.4166666666667 -11.75 29.263500213623 13.9720001220703 846 96
"77" 7 0 -41.5833333333333 -11.75 29.42799949646 13.4840002059937 616 104
"78" 3 0 -41.5833333333333 -12.4166666666667 29.1065006256104 13.6882495880127 807 125
"79" 5 0 -40.9166666666667 -11.25 29.1407508850098 13.0327501296997 556 100
"80" 1 0 -40.5833333333333 -11.9166666666667 28.628999710083 13.7255001068115 866 102
"81" 5 0 -41.75 -11.4166666666667 29.679500579834 13.82200050354 586 109
"82" 1 0 -40.9166666666667 -12.9166666666667 29.7192497253418 15.3462495803833 800 128
"83" 3 0 -41.0833333333333 -12.9166666666667 30.2887496948242 15.3699998855591 858 141
"84" 6 0 -41.25 -13.75 27.4297504425049 13.0469999313354 771 135
"85" 7 0 -41.5833333333333 -13.5833333333333 29.1054992675781 14.2620000839233 663 128
"86" 6 0 -41.4166666666667 -11.0833333333333 29.8472499847412 14.0037498474121 522 93
"87" 3 0 -41.25 -10.9166666666667 29.8972492218018 13.5614995956421 494 86
"88" 1 0 -41.4166666666667 -12.25 27.230749130249 12.3240003585815 928 118
"89" 6 0 -40.9166666666667 -10.9166666666667 30.8247489929199 13.9434995651245 419 83
"90" 1 0 -41.5833333333333 -11.4166666666667 29.5 13.4434995651245 567 105
"91" 7 0 -41.25 -13.0833333333333 26.679500579834 12.28125 987 152
"92" 7 0 -40.9166666666667 -12.25 28.0382499694824 13.0837497711182 742 95
"93" 6 0 -40.9166666666667 -13.5833333333333 28.9282493591309 15.4777498245239 644 129
"94" 4 0 -41.9166666666667 -13.4166666666667 25.8642501831055 11.1300001144409 1017 175
"95" 7 0 -41.75 -12.9166666666667 27.0265007019043 11.6785001754761 820 140
"96" 3 0 -41.9166666666667 -13.0833333333333 26.2779998779297 10.9160003662109 1071 185
"97" 3 0 -41.4166666666667 -11.25 29.2667503356934 13.6327495574951 539 98
"98" 6 0 -41.5833333333333 -12.75 26.8682498931885 11.9747495651245 791 128
"99" 6 0 -40.75 -11.4166666666667 28.3442497253418 12.8537502288818 734 101
"100" 1 0 -41.0833333333333 -11.75 26.6242504119873 11.9662504196167 834 103
"101" 5 0 -41.25 -11.75 26.7222499847412 11.9412498474121 777 103
"102" 6 0 -41.25 -11.9166666666667 26.6232490539551 11.6582498550415 879 103
"103" 7 0 -41.0833333333333 -13.0833333333333 29.9427509307861 15.2707500457764 809 139
"104" 5 0 -41.9166666666667 -12.9166666666667 26.7080001831055 11.1979999542236 855 155
"105" 6 0 -41.4166666666667 -11.4166666666667 28.8747501373291 13.7069997787476 565 102
"106" 1 0 -40.75 -13.25 28.793249130249 15.4352502822876 665 118
"107" 3 0 -41.4166666666667 -10.9166666666667 30.1809997558594 13.9984998703003 526 94
"108" 1 0 -41.5833333333333 -13.4166666666667 28.5737495422363 13.7285003662109 736 132
"109" 1 0 -40.9166666666667 -12.0833333333333 28.1730003356934 13.0592498779297 746 94
"110" 6 0 -40.25 -11.75 29.6777496337891 14.2224998474121 817 97
"111" 1 0 -40.9166666666667 -12.4166666666667 28.3767490386963 13.4385004043579 717 98
"112" 2 0 -41.75 -13.0833333333333 26.8017501831055 11.6032495498657 977 157
"113" 5 0 -40.75 -12.25 28.7159996032715 13.8000001907349 723 96
"114" 4 0 -40.5833333333333 -12.0833333333333 28.6982498168945 14.0920000076294 810 102
"115" 6 0 -41.25 -11.25 27.1895008087158 12.1707496643066 582 96
"116" 4 0 -41.75 -13.4166666666667 27.3339996337891 12.6479997634888 875 147
"117" 4 0 -41.25 -11.0833333333333 27.9704990386963 12.5369997024536 535 92
"118" 3 0 -41.25 -13.4166666666667 26.9367504119873 12.2572498321533 982 149
"119" 2 0 -41.75 -11.75 29.8032493591309 13.7795000076294 584 107
"120" 6 0 -41.75 -12.75 27.7649993896484 12.1859998703003 670 116
"121" 4 0 -41.0833333333333 -12.4166666666667 29.2492504119873 14.2777500152588 789 123
"122" 3 0 -41.0833333333333 -13.4166666666667 28.7509994506836 14.2585000991821 783 151
"123" 2 0 -40.9166666666667 -11.0833333333333 30.298999786377 13.6905002593994 478 93
"124" 4 0 -41.0833333333333 -10.9166666666667 30.857250213623 13.9292497634888 436 82
"125" 7 0 -40.9166666666667 -11.9166666666667 27.9547500610352 12.7840003967285 785 98
"126" 2 0 -40.9166666666667 -13.0833333333333 29.6840000152588 15.4949998855591 763 129
"127" 7 0 -40.4166666666667 -11.4166666666667 29.794750213623 14.1137504577637 781 104
"128" 1 0 -41.0833333333333 -12.5833333333333 29.5662498474121 14.5240001678467 846 131
"129" 5 0 -40.5833333333333 -11.25 30.1882495880127 14.1552495956421 733 104
